date,country,confirmed_cases,deaths,recovered,vaccinations,vaccinated_pct
2020-08-02,USA,221,1,178,926,1.0666666666666667
2020-08-03,USA,201,0,171,1101,1.3333333333333333
2020-08-04,USA,249,0,204,1096,1.6
2020-08-05,USA,222,1,163,1541,1.8666666666666667
2020-08-06,USA,258,1,224,1652,2.1333333333333333
2020-08-07,USA,248,2,199,2256,2.4
2020-08-08,USA,249,4,235,2147,2.6666666666666665
2020-08-09,USA,245,4,183,2265,2.9333333333333336
2020-08-10,USA,239,2,218,2589,3.2
2020-08-11,USA,245,1,181,2731,3.466666666666667
2020-08-12,USA,247,3,205,2939,3.7333333333333334
2020-08-13,USA,257,2,233,3180,4.0
2020-08-14,USA,192,1,149,3153,4.266666666666667
2020-08-15,USA,239,1,221,4350,4.533333333333333
2020-08-16,USA,258,4,220,3072,4.8
2020-08-17,USA,205,0,184,4640,5.066666666666667
2020-08-18,USA,254,4,228,5378,5.333333333333333
2020-08-19,USA,229,1,203,4211,5.6000000000000005
2020-08-20,USA,242,3,222,4591,5.866666666666667
2020-08-21,USA,264,0,241,4783,6.133333333333333
2020-08-22,USA,234,3,173,4745,6.4
2020-08-23,USA,259,3,222,4974,6.666666666666666
2020-08-24,USA,251,1,197,6768,6.933333333333334
2020-08-25,USA,199,1,187,6803,7.199999999999999
2020-08-26,USA,248,2,212,5446,7.466666666666667
2020-08-27,USA,245,3,228,6817,7.733333333333333
2020-08-28,USA,223,2,190,6885,8.0
2020-08-29,USA,281,5,262,6447,8.266666666666666
2020-08-30,USA,219,4,199,6925,8.533333333333333
2020-08-31,USA,245,2,196,8024,8.8
2020-09-01,USA,240,3,168,7133,9.066666666666666
2020-09-02,USA,219,2,204,6401,9.333333333333334
2020-09-03,USA,212,3,173,6868,9.6
2020-09-04,USA,238,0,177,6890,9.866666666666667
2020-09-05,USA,178,3,140,8283,10.133333333333335
2020-09-06,USA,292,0,253,9510,10.4
2020-09-07,USA,239,0,227,7797,10.666666666666666
2020-09-08,USA,311,0,276,9039,10.933333333333334
2020-09-09,USA,252,1,188,9072,11.200000000000001
2020-09-10,USA,246,2,176,8912,11.466666666666667
2020-09-11,USA,241,2,195,11094,11.733333333333334
2020-09-12,USA,280,1,209,7818,12.0
2020-09-13,USA,212,2,170,9297,12.266666666666666
2020-09-14,USA,273,0,206,11611,12.533333333333335
2020-09-15,USA,268,0,194,9332,12.8
2020-09-16,USA,236,3,179,11265,13.066666666666666
2020-09-17,USA,244,3,223,10548,13.333333333333332
2020-09-18,USA,241,3,181,12473,13.600000000000001
2020-09-19,USA,267,0,192,11044,13.866666666666667
2020-09-20,USA,260,2,240,10163,14.133333333333333
2020-09-21,USA,238,1,189,13077,14.399999999999999
2020-09-22,USA,210,2,169,12785,14.666666666666666
2020-09-23,USA,196,1,184,14356,14.933333333333334
2020-09-24,USA,239,4,196,12991,15.2
2020-09-25,USA,257,2,181,12903,15.466666666666667
2020-09-26,USA,263,3,201,10720,15.733333333333333
2020-09-27,USA,260,5,216,12908,16.0
2020-09-28,USA,241,0,224,12329,16.266666666666666
2020-09-29,USA,262,1,220,12259,16.53333333333333
2020-09-30,USA,286,1,201,14460,16.8
2020-10-01,USA,265,3,230,15405,17.066666666666666
2020-10-02,USA,206,2,146,12423,17.333333333333336
2020-10-03,USA,274,0,233,13415,17.6
2020-10-04,USA,242,1,191,12619,17.866666666666667
2020-10-05,USA,232,2,190,16474,18.133333333333333
2020-10-06,USA,276,4,208,15402,18.400000000000002
2020-10-07,USA,245,2,208,15529,18.666666666666668
2020-10-08,USA,296,0,213,14467,18.933333333333334
2020-10-09,USA,262,3,212,18575,19.2
2020-10-10,USA,285,4,249,15100,19.46666666666667
2020-10-11,USA,284,2,205,13672,19.733333333333334
2020-10-12,USA,264,1,220,17458,20.0
2020-10-13,USA,278,4,240,17674,20.26666666666667
2020-10-14,USA,293,1,241,17651,20.53333333333333
2020-10-15,USA,281,1,237,17450,20.8
2020-10-16,USA,236,4,223,19138,21.066666666666663
2020-10-17,USA,269,4,245,18729,21.333333333333332
2020-10-18,USA,300,0,255,16837,21.6
2020-10-19,USA,259,0,226,17416,21.866666666666667
2020-10-20,USA,312,0,243,16564,22.133333333333333
2020-10-21,USA,319,2,273,18772,22.400000000000002
2020-10-22,USA,283,1,200,20287,22.666666666666664
2020-10-23,USA,279,5,251,20857,22.933333333333334
2020-10-24,USA,261,2,223,21755,23.2
2020-10-25,USA,264,2,233,22090,23.46666666666667
2020-10-26,USA,266,2,205,18957,23.733333333333334
2020-10-27,USA,248,0,174,18211,24.0
2020-10-28,USA,280,2,244,20412,24.266666666666666
2020-10-29,USA,315,5,257,19732,24.53333333333333
2020-10-30,USA,247,4,187,21163,24.8
2020-10-31,USA,290,3,240,21617,25.06666666666667
2020-11-01,USA,265,1,198,19716,25.333333333333332
2020-11-02,USA,266,0,251,23542,25.6
2020-11-03,USA,336,4,248,20046,25.866666666666664
2020-11-04,USA,271,1,226,22838,26.133333333333333
2020-11-05,USA,343,0,315,25595,26.400000000000002
2020-11-06,USA,272,4,255,21068,26.666666666666664
2020-11-07,USA,303,4,254,22877,26.933333333333334
2020-11-08,USA,289,2,221,20571,27.200000000000003
2020-11-09,USA,295,0,223,26626,27.466666666666665
2020-11-10,USA,280,4,230,23304,27.733333333333334
2020-11-11,USA,387,6,304,21791,28.0
2020-11-12,USA,324,1,298,27523,28.266666666666666
2020-11-13,USA,323,5,296,26052,28.533333333333335
2020-11-14,USA,332,4,289,24872,28.799999999999997
2020-11-15,USA,354,1,326,25440,29.066666666666666
2020-11-16,USA,301,2,266,24463,29.333333333333332
2020-11-17,USA,321,5,265,23371,29.6
2020-11-18,USA,316,4,242,24661,29.866666666666667
2020-11-19,USA,334,5,243,30124,30.133333333333333
2020-11-20,USA,322,6,253,28927,30.4
2020-11-21,USA,337,0,314,25675,30.666666666666668
2020-11-22,USA,300,2,263,25918,30.933333333333334
2020-11-23,USA,323,2,276,23848,31.200000000000003
2020-11-24,USA,299,4,211,26838,31.466666666666665
2020-11-25,USA,379,5,308,25910,31.733333333333334
2020-11-26,USA,269,1,242,20518,32.0
2020-11-27,USA,286,0,249,28399,32.266666666666666
2020-11-28,USA,278,5,205,29072,32.53333333333333
2020-11-29,USA,353,3,303,26691,32.8
2020-11-30,USA,272,5,218,25297,33.06666666666666
2020-12-01,USA,323,1,228,28361,33.333333333333336
2020-12-02,USA,286,4,234,31603,33.6
2020-12-03,USA,349,5,318,29107,33.86666666666667
2020-12-04,USA,363,1,257,31783,34.13333333333333
2020-12-05,USA,347,5,285,30278,34.4
2020-12-06,USA,315,1,259,33624,34.66666666666667
2020-12-07,USA,349,2,314,26756,34.93333333333333
2020-12-08,USA,328,0,236,23464,35.2
2020-12-09,USA,330,4,255,22084,35.46666666666667
2020-12-10,USA,381,6,271,30619,35.733333333333334
2020-12-11,USA,313,1,297,29447,36.0
2020-12-12,USA,354,4,310,26355,36.266666666666666
2020-12-13,USA,347,2,288,30108,36.53333333333333
2020-12-14,USA,349,0,251,28183,36.800000000000004
2020-12-15,USA,320,3,279,29609,37.06666666666666
2020-12-16,USA,340,1,246,32441,37.333333333333336
2020-12-17,USA,423,0,395,33761,37.599999999999994
2020-12-18,USA,370,5,340,29109,37.86666666666667
2020-12-19,USA,407,3,368,33333,38.13333333333333
2020-12-20,USA,428,4,368,32185,38.4
2020-12-21,USA,448,1,320,32409,38.666666666666664
2020-12-22,USA,349,6,264,30451,38.93333333333334
2020-12-23,USA,402,5,331,30370,39.2
2020-12-24,USA,456,2,432,33853,39.46666666666667
2020-12-25,USA,386,1,336,33049,39.733333333333334
2020-12-26,USA,52,0,46,27390,40.0
2020-12-27,USA,50,0,40,38305,40.266666666666666
2020-12-28,USA,57,0,50,36803,40.53333333333334
2020-12-29,USA,66,1,53,33405,40.8
2020-12-30,USA,62,1,47,28432,41.06666666666666
2020-12-31,USA,71,1,52,38661,41.333333333333336
2021-01-01,USA,61,0,46,35083,41.6
2021-01-02,USA,57,0,52,38446,41.86666666666667
2021-01-03,USA,65,0,55,24765,42.133333333333326
2021-01-04,USA,54,1,41,30947,42.400000000000006
2021-01-05,USA,45,0,33,39139,42.666666666666664
2021-01-06,USA,58,0,41,36971,42.93333333333333
2021-01-07,USA,60,0,54,30951,43.2
2021-01-08,USA,44,0,38,34196,43.46666666666667
2021-01-09,USA,56,0,50,34689,43.733333333333334
2021-01-10,USA,57,0,51,43674,44.0
2021-01-11,USA,71,0,51,37252,44.266666666666666
2021-01-12,USA,60,0,56,36466,44.53333333333333
2021-01-13,USA,69,0,57,36524,44.800000000000004
2021-01-14,USA,71,0,59,38324,45.06666666666667
2021-01-15,USA,83,0,59,36740,45.33333333333333
2021-01-16,USA,74,0,64,33581,45.599999999999994
2021-01-17,USA,57,1,43,44914,45.86666666666667
2021-01-18,USA,73,1,63,39797,46.13333333333333
2021-01-19,USA,88,1,74,37917,46.4
2021-01-20,USA,76,0,66,42909,46.66666666666667
2021-01-21,USA,82,0,71,34153,46.93333333333334
2021-01-22,USA,66,1,59,40069,47.199999999999996
2021-01-23,USA,83,1,66,40783,47.46666666666667
2021-01-24,USA,79,1,70,34416,47.733333333333334
2021-01-25,USA,65,1,48,44879,48.0
2021-01-26,USA,67,0,53,39733,48.26666666666667
2021-01-27,USA,85,0,69,36511,48.53333333333333
2021-01-28,USA,64,0,46,34802,48.8
2021-01-29,USA,87,1,71,44401,49.06666666666666
2021-01-30,USA,81,0,66,39230,49.333333333333336
2021-01-31,USA,59,0,49,34059,49.6
2021-02-01,USA,86,1,76,43297,49.86666666666666
2021-02-02,USA,81,0,75,42364,50.13333333333334
2021-02-03,USA,67,0,51,40261,50.4
2021-02-04,USA,65,1,54,37048,50.666666666666664
2021-02-05,USA,84,1,65,35288,50.93333333333334
2021-02-06,USA,67,0,58,41136,51.2
2021-02-07,USA,78,1,56,36658,51.46666666666667
2021-02-08,USA,62,1,51,44393,51.73333333333333
2021-02-09,USA,80,0,69,48570,52.0
2021-02-10,USA,80,1,74,45292,52.266666666666666
2021-02-11,USA,73,0,58,40315,52.53333333333333
2021-02-12,USA,68,1,53,40390,52.800000000000004
2021-02-13,USA,78,1,57,49058,53.06666666666666
2021-02-14,USA,74,0,55,53239,53.33333333333333
2021-02-15,USA,89,0,64,45877,53.6
2021-02-16,USA,84,1,70,43623,53.86666666666667
2021-02-17,USA,79,0,65,38398,54.13333333333333
2021-02-18,USA,77,0,68,52041,54.400000000000006
2021-02-19,USA,91,0,65,52248,54.66666666666667
2021-02-20,USA,81,0,64,40568,54.93333333333333
2021-02-21,USA,87,0,79,41876,55.199999999999996
2021-02-22,USA,90,1,78,38495,55.46666666666667
2021-02-23,USA,70,0,60,47521,55.733333333333334
2021-02-24,USA,105,1,75,47956,56.0
2021-02-25,USA,95,0,83,46598,56.266666666666666
2021-02-26,USA,92,0,75,39896,56.53333333333333
2021-02-27,USA,85,1,76,52455,56.8
2021-02-28,USA,82,1,76,45420,57.06666666666667
2021-03-01,USA,105,1,89,47791,57.333333333333336
2021-03-02,USA,96,0,87,45879,57.599999999999994
2021-03-03,USA,101,0,78,52111,57.866666666666674
2021-03-04,USA,88,0,82,41420,58.13333333333333
2021-03-05,USA,79,0,64,50438,58.4
2021-03-06,USA,101,1,83,60240,58.666666666666664
2021-03-07,USA,98,0,91,47959,58.93333333333334
2021-03-08,USA,101,1,78,50222,59.2
2021-03-09,USA,98,0,85,45182,59.46666666666666
2021-03-10,USA,100,1,91,49051,59.733333333333334
2021-03-11,USA,101,1,90,53347,60.0
2021-03-12,USA,102,0,75,43036,60.266666666666666
2021-03-13,USA,97,0,71,48823,60.53333333333334
2021-03-14,USA,104,2,84,52619,60.8
2021-03-15,USA,104,0,76,40276,61.06666666666666
2021-03-16,USA,93,1,80,53435,61.333333333333336
2021-03-17,USA,103,0,98,58177,61.6
2021-03-18,USA,107,2,81,49135,61.86666666666667
2021-03-19,USA,101,1,72,49523,62.133333333333326
2021-03-20,USA,109,1,93,51303,62.400000000000006
2021-03-21,USA,117,1,94,43858,62.666666666666664
2021-03-22,USA,96,0,77,50563,62.93333333333333
2021-03-23,USA,115,1,80,55888,63.2
2021-03-24,USA,105,0,80,38648,63.46666666666667
2021-03-25,USA,106,1,80,54435,63.733333333333334
2021-03-26,USA,112,0,93,55649,64.0
2021-03-27,USA,123,0,101,51984,64.26666666666667
2021-03-28,USA,109,1,89,48348,64.53333333333333
2021-03-29,USA,101,0,91,44666,64.80000000000001
2021-03-30,USA,108,1,88,59040,65.06666666666666
2021-03-31,USA,121,0,112,51078,65.33333333333333
2021-04-01,USA,135,1,125,50651,65.6
2021-04-02,USA,128,0,106,62590,65.86666666666667
2021-04-03,USA,121,1,105,50672,66.13333333333333
2021-04-04,USA,114,0,80,55583,66.39999999999999
2021-04-05,USA,106,0,95,49470,66.66666666666667
2021-04-06,USA,109,0,79,57966,66.93333333333334
2021-04-07,USA,130,0,92,59203,67.2
2021-04-08,USA,129,1,103,51255,67.46666666666667
2021-04-09,USA,118,1,105,54274,67.73333333333333
2021-04-10,USA,125,0,118,67990,68.0
2021-04-11,USA,116,2,99,61315,68.26666666666667
2021-04-12,USA,136,2,118,59189,68.53333333333333
2021-04-13,USA,120,2,90,51802,68.8
2021-04-14,USA,114,1,97,45604,69.06666666666666
2021-04-15,USA,122,2,105,55408,69.33333333333334
2021-04-16,USA,132,2,120,53869,69.6
2021-04-17,USA,123,1,101,59047,69.86666666666666
2021-04-18,USA,130,2,112,61879,70.13333333333334
2021-04-19,USA,128,2,119,50359,70.4
2021-04-20,USA,130,2,98,54298,70.66666666666666
2021-04-21,USA,138,2,115,58425,70.93333333333334
2021-04-22,USA,130,0,109,73745,71.2
2021-04-23,USA,134,1,120,60978,71.46666666666667
2021-04-24,USA,127,0,97,51740,71.73333333333333
2021-04-25,USA,127,2,95,54144,72.0
2021-04-26,USA,144,1,107,61741,72.26666666666667
2021-04-27,USA,140,1,98,55981,72.53333333333333
2021-04-28,USA,123,2,97,63714,72.8
2021-04-29,USA,122,0,112,57427,73.06666666666666
2021-04-30,USA,146,2,124,57865,73.33333333333333
2021-05-01,USA,118,1,83,49841,73.60000000000001
2021-05-02,USA,118,1,85,68377,73.86666666666667
2021-05-03,USA,127,1,91,76519,74.13333333333333
2021-05-04,USA,145,1,124,73418,74.4
2021-05-05,USA,141,0,128,65006,74.66666666666667
2021-05-06,USA,125,0,98,61568,74.93333333333334
2021-05-07,USA,139,2,115,67712,75.19999999999999
2021-05-08,USA,123,0,99,60826,75.46666666666667
2021-05-09,USA,132,1,117,61488,75.73333333333333
2021-05-10,USA,125,1,112,74047,76.0
2021-05-11,USA,132,2,105,56670,76.26666666666667
2021-05-12,USA,150,0,119,72611,76.53333333333333
2021-05-13,USA,135,0,126,51960,76.8
2021-05-14,USA,130,2,118,53241,77.06666666666666
2021-05-15,USA,139,1,114,60175,77.33333333333333
2021-05-16,USA,134,1,118,75084,77.6
2021-05-17,USA,129,1,95,67000,77.86666666666667
2021-05-18,USA,141,2,101,72098,78.13333333333334
2021-05-19,USA,134,0,102,63125,78.4
2021-05-20,USA,133,0,118,67032,78.66666666666666
2021-05-21,USA,148,0,121,63117,78.93333333333334
2021-05-22,USA,114,0,106,70850,79.2
2021-05-23,USA,136,2,97,68684,79.46666666666667
2021-05-24,USA,122,1,115,62067,79.73333333333333
2021-05-25,USA,142,0,119,57506,80.0
2021-05-26,USA,139,1,109,65737,80.26666666666668
2021-05-27,USA,129,2,108,60828,80.53333333333333
2021-05-28,USA,126,2,111,66820,80.8
2021-05-29,USA,137,1,98,64184,81.06666666666668
2021-05-30,USA,126,0,118,47320,81.33333333333333
2021-05-31,USA,139,1,111,73131,81.6
2021-06-01,USA,140,0,116,81132,81.86666666666667
2021-06-02,USA,133,0,119,76788,82.13333333333333
2021-06-03,USA,129,0,101,62313,82.4
2021-06-04,USA,136,0,125,78984,82.66666666666667
2021-06-05,USA,132,2,118,57508,82.93333333333334
2021-06-06,USA,142,1,117,67851,83.2
2021-06-07,USA,137,2,108,63445,83.46666666666665
2021-06-08,USA,135,0,121,58923,83.73333333333333
2021-06-09,USA,149,2,119,76497,84.0
2021-06-10,USA,134,0,117,75166,84.26666666666665
2021-06-11,USA,128,2,118,76635,84.53333333333333
2021-06-12,USA,130,0,120,66885,84.80000000000001
2021-06-13,USA,125,1,106,72879,85.06666666666666
2021-06-14,USA,133,2,107,80041,85.33333333333333
2021-06-15,USA,123,2,99,73369,85.60000000000001
2021-06-16,USA,142,2,131,88851,85.86666666666666
2021-06-17,USA,133,0,122,68294,86.13333333333333
2021-06-18,USA,132,1,103,80370,86.4
2021-06-19,USA,142,1,112,70391,86.66666666666666
2021-06-20,USA,141,1,105,71288,86.93333333333334
2021-06-21,USA,137,0,104,75589,87.2
2021-06-22,USA,126,1,112,65259,87.46666666666667
2021-06-23,USA,139,1,127,83079,87.73333333333333
2021-06-24,USA,132,1,97,72153,88.0
2021-06-25,USA,119,1,85,81164,88.26666666666667
2021-06-26,USA,130,0,118,70883,88.53333333333333
2021-06-27,USA,135,1,111,63162,88.80000000000001
2021-06-28,USA,119,0,92,68244,89.06666666666666
2021-06-29,USA,131,2,116,74743,89.33333333333334
2021-06-30,USA,131,0,122,81816,89.60000000000001
2021-07-01,USA,131,0,106,87896,89.86666666666666
2021-07-02,USA,134,1,107,73190,90.0
2021-07-03,USA,120,1,111,73628,90.0
2021-07-04,USA,130,0,120,71275,90.0
2021-07-05,USA,129,0,122,79338,90.0
2021-07-06,USA,115,1,88,83099,90.0
2021-07-07,USA,125,0,95,88997,90.0
2021-07-08,USA,121,0,103,73111,90.0
2021-07-09,USA,112,1,80,67542,90.0
2021-07-10,USA,128,2,95,88808,90.0
2021-07-11,USA,119,1,84,74770,90.0
2021-07-12,USA,120,0,109,85136,90.0
2021-07-13,USA,111,0,103,78316,90.0
2021-07-14,USA,126,2,106,80556,90.0
2021-07-15,USA,95,0,77,82146,90.0
2021-07-16,USA,120,2,98,87748,90.0
2021-07-17,USA,129,1,113,87543,90.0
2021-07-18,USA,116,0,92,65159,90.0
2021-07-19,USA,132,2,112,76439,90.0
2021-07-20,USA,114,1,82,91253,90.0
2021-07-21,USA,107,1,76,67917,90.0
2021-07-22,USA,109,2,85,73032,90.0
2021-07-23,USA,100,1,77,78031,90.0
2021-07-24,USA,111,0,78,67403,90.0
2021-07-25,USA,107,1,90,73171,90.0
2021-07-26,USA,94,1,75,80255,90.0
2021-07-27,USA,110,0,86,73578,90.0
2021-07-28,USA,116,1,101,79950,90.0
2021-07-29,USA,101,0,81,67890,90.0
2021-07-30,USA,108,1,84,84300,90.0
2021-07-31,USA,101,0,72,81619,90.0
2021-08-01,USA,117,0,93,87891,90.0
2021-08-02,USA,86,0,69,75060,90.0
2021-08-03,USA,101,0,80,81719,90.0
2021-08-04,USA,103,1,81,84908,90.0
2021-08-05,USA,100,1,93,81687,90.0
2021-08-06,USA,107,1,78,84100,90.0
2021-08-07,USA,90,0,72,82862,90.0
2021-08-08,USA,97,1,69,66724,90.0
2021-08-09,USA,98,0,87,73941,90.0
2021-08-10,USA,104,1,84,86160,90.0
2021-08-11,USA,86,0,77,90464,90.0
2021-08-12,USA,106,1,96,80991,90.0
2021-08-13,USA,93,0,78,90040,90.0
2021-08-14,USA,103,1,90,69623,90.0
2021-08-15,USA,83,0,61,80286,90.0
2021-08-16,USA,88,0,62,90490,90.0
2021-08-17,USA,100,0,72,95911,90.0
2021-08-18,USA,76,1,64,77583,90.0
2021-08-19,USA,78,1,64,79590,90.0
2021-08-20,USA,81,0,57,88418,90.0
2021-08-21,USA,91,0,64,85095,90.0
2021-08-22,USA,85,0,60,82105,90.0
2021-08-23,USA,82,0,76,99144,90.0
2021-08-24,USA,89,1,81,82837,90.0
2021-08-25,USA,82,0,64,89764,90.0
2021-08-26,USA,72,0,60,87368,90.0
2021-08-27,USA,86,0,66,90681,90.0
2021-08-28,USA,74,0,58,81200,90.0
2021-08-29,USA,63,0,46,93285,90.0
2021-08-30,USA,94,0,75,79013,90.0
2021-08-31,USA,85,1,64,104316,90.0
2021-09-01,USA,72,0,60,86525,90.0
2021-09-02,USA,77,0,71,91771,90.0
2021-09-03,USA,76,0,69,84448,90.0
2021-09-04,USA,78,1,57,84852,90.0
2021-09-05,USA,75,0,69,88070,90.0
2021-09-06,USA,58,0,43,99722,90.0
2021-09-07,USA,66,0,54,100967,90.0
2021-09-08,USA,78,1,62,90972,90.0
2021-09-09,USA,73,0,68,94961,90.0
2021-09-10,USA,66,1,53,88071,90.0
2021-09-11,USA,71,0,66,63285,90.0
2021-09-12,USA,66,0,58,86371,90.0
2021-09-13,USA,59,0,46,93749,90.0
2021-09-14,USA,59,0,55,98088,90.0
2021-09-15,USA,70,0,49,95165,90.0
2021-09-16,USA,68,1,50,95423,90.0
2021-09-17,USA,67,0,60,97819,90.0
2021-09-18,USA,63,0,52,100935,90.0
